uprn,postcode,lsoa_code,RelHMax,calculatedAreaValue,total_consumption,mean_counsumption,median_consumption,prop_households_fuel_poor,LATITUDE,LONGITUDE,mainheat-description,current-energy-rating,current-energy-efficiency,confidence,confidence_within_one_rating,additional_load,additional_peak_load,predicted
100071184891,826,9,8.3,25-50_percentile,2571617.811764708,3705.501169689781,3085.6,16.619718309859156,0,0,0.0,D,63.0,,,0.0,0.0,0
100071195907,239,33,9.1,25-50_percentile,2123836.026050422,3819.848967716587,3301.95,19.10714285714285,0,0,0.0,E,50.0,,,0.0,0.0,0
100071143850,492,14,8.6,25-50_percentile,2226215.357142857,3409.211879238679,2986.1,30.478955007256893,0,0,0.0,C,69.0,,,0.0,0.0,0
100071171633,590,24,8.7,<25_percentile,1986984.530769232,3934.622833206401,3491.2,40.25735294117647,0,0,0.0,C,72.0,,,0.0,0.0,0
100071136227,32,18,8.6,50-75_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,D,68.0,,,0.0,0.0,0
10090013826,683,28,13.1,>75_percentile,2383310.8,3683.633384853168,3213.9,39.94169096209912,0,0,0.0,B,81.0,,,0.0,0.0,0
100071152265,65,13,8.0,50-75_percentile,2434909.713550419,3846.618820774754,3195.9,13.813813813813812,0,0,0.0,C,69.0,,,0.0,0.0,0
100071172362,169,37,12.7,>75_percentile,2019219.631764706,3251.561403807901,2704.5,22.5609756097561,0,0,0.0,C,73.0,,,0.0,0.0,0
100071352957,920,49,12.6,>75_percentile,2659720.599999998,3843.526878612714,3279.55,21.712158808933,0,0,1.0,C,76.0,,,0.0,0.0,0
10093322861,157,1,9.3,50-75_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,B,85.0,,,0.0,0.0,0
100071187433,359,6,8.1,50-75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,D,56.0,,,0.0,0.0,0
100071557649,976,17,8.6,>75_percentile,2409220.225769229,3956.026643299227,3225.4,21.98581560283688,0,0,0.0,D,67.0,,,0.0,0.0,0
100071195119,284,34,9.2,<25_percentile,1977217.488431568,3588.416494431159,3129.0,39.19694072657744,0,0,0.0,C,70.0,,,0.0,0.0,0
100071207665,945,16,5.7,<25_percentile,2135483.166233765,3400.450901646123,2931.85,30.46757164404223,0,0,0.0,D,60.0,,,0.0,0.0,0
100071141604,297,36,7.3,50-75_percentile,2129770.000000002,3872.309090909095,3312.6,15.18987341772152,0,0,0.0,D,65.0,,,0.0,0.0,0
100071162881,194,4,7.4,<25_percentile,2232751.876050422,3467.006018711835,2888.05,16.105417276720353,0,0,0.0,D,58.0,,,0.0,0.0,0
100071162999,750,28,9.4,50-75_percentile,2383310.8,3683.633384853168,3213.9,39.94169096209912,0,0,0.0,E,53.0,,,0.0,0.0,0
